episode_uid,guest_key,guest_full_name,segment,topic,role,source,confidence,needs_human
S03E015,carl-werner,Carl Werner,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E015,dan-janzen,Dan Janzen,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E016,frank-sherwin,"Frank Sherwin (Dallas, TX)",,"guest_raw='Frank Sherwin (Dallas, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E016,stephen-meyer,Stephen Meyer,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E017,brian-thomas,"Brian Thomas (Dallas, TX)",,"guest_raw='Brian Thomas (Dallas, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E017,scott-stripling,"Scott Stripling (Katy, TX)",,"guest_raw='Scott Stripling (Katy, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E018,john-barentine,"John Barentine (Tucson, AZ)",,"guest_raw='John Barentine (Tucson, AZ)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E018,stephen-meyer,Stephen Meyer,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E019,joeseph-hubbard,"Joeseph Hubbard (Oswestry, UK)",,"guest_raw='Joeseph Hubbard (Oswestry, UK)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E019,tom-rogers,Tom Rogers (B.C. Canada),,guest_raw='Tom Rogers (B.C. Canada)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E020,mike-houts,Mike Houts (Madison AL),,guest_raw='Mike Houts (Madison AL)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E020,andrew-fabich,Andrew Fabich (Gainsville GA),,guest_raw='Andrew Fabich (Gainsville GA)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E021,david-legates,David Legates,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E021,billy-hallowell,Billy Hallowell,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E022,tim-clarey,Tim Clarey,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E022,,Bergman,,last-name-only token in source; guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E023,,Andrew Fabich (TBD),,guest_raw='Andrew Fabich (TBD)'; guest_full_name contains non-name qualifier (e.g. Pt 1/Roll in/x2/TBD); guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E023,dan-janzen,Dan Janzen,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E024,carl-werner,Carl Werner,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E024,dr-ming-wang,Dr. Ming Wang,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E025,jeff-tomkins,Jeff Tomkins,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E025,,Coppedge,,last-name-only token in source; guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E026,gordon-wilson,Gordon Wilson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
